FijiId;FirstPoint;LastPoint;Direction;Type;Class;UTurnAllowed;ZLvlFrom;ZLvlTo;CargoFrame;Exceptions;PartnerIds;BranchSysCode;CountrySysCode;RegionSysCode;DistrictSysCode;CitySysCode;CargoPassZoneSysCode;IsBlockedCar;IsBlockedCarAnyDirection;IsBlockedBicycle;IsBlockedBicycleAnyDirection;IsBlockedPedestrian;IsBlockedPedestrianAnyDirection;IsBlockedCargo;IsBlockedCargoAnyDirection;IsBlockedCargoOnlyAnyDirection;IsBlockedCargoOnly;IsBlockedCargoDoesNotBreakCargoCarcass;CargoMaximumPermissibleMass;IsSidewalk
145162833;4566493_2243139.1;4566398.76_2243057.48;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162833;4566398.76_2243057.48;4566493_2243139.1;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162832;4566851.07_2243574.11;4566961.14_2243654.03;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162832;4566961.14_2243654.03;4566851.07_2243574.11;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162831;4566767.31_2243520.39;4566590.17_2243187.43;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162831;4566590.17_2243187.43;4566767.31_2243520.39;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162829;4567028.33_2244207.67;4566490.85_2244953.6;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162829;4566490.85_2244953.6;4567028.33_2244207.67;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162828;4568411.29_2233959.11;4568340.59_2234177.13;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162828;4568340.59_2234177.13;4568411.29_2233959.11;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162827;4569375.75_2234656.61;4568499.34_2233989.8;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162827;4568499.34_2233989.8;4569375.75_2234656.61;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162825;4568314.52_2231610.05;4568359.92_2231748.8;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162825;4568359.92_2231748.8;4568314.52_2231610.05;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162824;4568415.38_2231809.02;4568367.12_2231835.05;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162824;4568367.12_2231835.05;4568415.38_2231809.02;2;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162823;4568415.38_2231809.02;4568589.36_2231653.88;1;0;2;True;0;0;False;;;229;164;70030076149053560;70030076486430542;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
